strategy,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,R,hold_candles,is_limit,is_fallback_market,is_partial_fill,is_adverse_selection,exit_datetime_parsed,month,same_candle,session,expected_R,total_friction_cost,cost_to_risk,projected_net_R,source_sleeve
Low-Activity Filler Long,1578646800000,2020-01-10 09:00:00+00:00,1578664800000,2020-01-10 14:00:00+00:00,Long,7709.7,7947.399518116238,7951.375205719097,7565.549882446231,7951.375205719097,0.713,169.4797564168779,5.581755978208438,2.745049999999611,2.834665260838232,5.579715260837842,0.0,163.89800043866947,10163.89800043867,TP Hit,1.64897207265596,5,False,False,False,False,2020-01-10 14:00:00,2020-01,False,LONDON,1.6765522624631293,11.16147123904628,0.07742949800150524,1.5679554910725189,Low-Activity Filler Long
BB Expansion Long,1578974400000,2020-01-14 04:00:00+00:00,1579010400000,2020-01-14 14:00:00+00:00,Long,8473.8,8637.074842104905,8641.395539874842,8346.320011290114,8641.395539874842,0.823,134.3751950523372,7.041124997526167,3.5059799999986825,3.555934264658477,7.06191426465716,1.81502119715,125.51904885766103,10289.417049296331,TP Hit,1.2807880182393256,10,False,False,False,False,2020-01-14 14:00:00,2020-01,False,OFF_HOURS,1.3146811634589277,15.918060459333326,0.12486713107230599,1.1629592545010832,BB Expansion Long
BB Expansion Short,1579438800000,2020-01-19 13:00:00+00:00,1579780800000,2020-01-23 12:00:00+00:00,Short,8641.4,8404.925338484236,8400.724975996238,8822.16801728271,8400.724975996238,0.576,136.2094050330799,4.909341697483459,2.505600000000209,2.4194087930868844,4.925008793087094,-11.7822602750976,143.08232361069403,10306.090101095822,TP Hit,1.308166483598327,95,False,False,False,False,2020-01-23 12:00:00,2020-01,False,NEW_YORK,1.331402687386683,21.616610765668156,0.11958205378698808,1.1237949551176065,BB Expansion Short
BB Expansion Short,1583686800000,2020-03-08 17:00:00+00:00,1583708400000,2020-03-08 23:00:00+00:00,Short,8282.2,8059.64991712362,8055.622106070585,8451.87208362918,8055.622106070585,0.597,132.86239947719923,4.878042200261401,2.501429999999218,2.40460319866207,4.906033198661288,0.0,127.98435727693784,10024.675213475864,TP Hit,1.3116481987854145,6,False,False,False,False,2020-03-08 23:00:00,2020-03,False,NEW_YORK,1.3353869952148743,9.784075398922688,0.05766461511904309,1.2387963501243497,BB Expansion Short
BB Expansion Short,1583996400000,2020-03-12 07:00:00+00:00,1584007200000,2020-03-12 10:00:00+00:00,Short,7498.4,7223.839853594733,7220.22973872537,7704.874588117733,7220.22973872537,0.494,135.6327123242019,3.6363932438378974,1.8525,1.7833967454650284,3.635896745465028,-0.3863316339479999,132.38265071431198,10157.057864190176,TP Hit,1.329752726028982,3,False,False,False,False,2020-03-12 10:00:00,2020-03,False,OFF_HOURS,1.347237274138621,7.658621623250926,0.03709232062438564,1.272151604858488,BB Expansion Short
BB Expansion Short,1584057600000,2020-03-13 00:00:00+00:00,1584064800000,2020-03-13 02:00:00+00:00,Short,4759.9,3846.335711478464,3844.4135047261016,5427.220276597206,3844.4135047261016,0.153,139.77533614379487,0.6583770319281026,0.3641400000000167,0.2940976331115166,0.6582376331115334,0.1171125134531999,138.99984659841357,10296.057710788593,TP Hit,1.36900424063236,2,False,False,False,False,2020-03-13 02:00:00,2020-03,False,OFF_HOURS,1.371884726689467,1.4337271784928358,0.0021484843616676606,1.3578423452406587,BB Expansion Short
BB Expansion Long,1584309600000,2020-03-15 22:00:00+00:00,1584309600000,2020-03-15 22:00:00+00:00,Long,5906.6,5588.189220852471,5590.9847132090745,5590.9847132090745,6337.38178720962,0.333,-106.03078945612744,1.9138824052719363,0.975690000000097,0.9308989547491228,1.90658895474922,0.0,-107.9446718613994,10292.3463936683,SL Hit,-1.0088572780647846,0,False,False,False,False,2020-03-15 22:00:00,2020-03,True,OFF_HOURS,1.3648951911983387,3.8204713600211564,0.012104836235489328,1.3285443316323047,BB Expansion Long
BB Expansion Short,1584345600000,2020-03-16 08:00:00+00:00,1584367200000,2020-03-16 14:00:00+00:00,Short,4780.7,5115.822327165053,5113.265694317895,5113.265694317895,4326.280424558479,0.312,-104.55816607549664,1.5438574830377485,0.7332000000001135,0.7976694483134997,1.5308694483136134,0.550260056268,-106.6522836148024,10185.694110053497,SL Hit,-1.0076876024522083,6,False,False,False,False,2020-03-16 14:00:00,2020-03,False,LONDON,1.3664054447153717,3.624986987619362,0.0109000629035245,1.3314693456656137,BB Expansion Short
BB Expansion Long,1584640800000,2020-03-19 18:00:00+00:00,1584691200000,2020-03-20 08:00:00+00:00,Long,6305.8,6700.344453736225,6703.696301887168,6011.351062641239,6703.696301887168,0.357,140.85236998383218,2.3215967849919164,1.138830000000182,1.1966097898868735,2.335439789887056,-0.3665363334759,138.89730953231614,10477.023125566904,TP Hit,1.3399418495965074,14,False,False,False,False,2020-03-20 08:00:00,2020-03,False,NEW_YORK,1.3513253111264079,5.023572908354873,0.017060930677545876,1.3035355893405651,BB Expansion Long
BB Expansion Long,1584968400000,2020-03-23 13:00:00+00:00,1585036800000,2020-03-24 08:00:00+00:00,Long,6324.2,6714.020999104161,6717.379688948635,6035.675423956983,6717.379688948635,0.367,143.06430667122717,2.392513553335613,1.1633900000000266,1.2326391729218484,2.396029172921875,0.706728597,139.96506452089156,10616.988190087795,TP Hit,1.3510842107468914,19,False,False,False,False,2020-03-24 08:00:00,2020-03,False,NEW_YORK,1.3627251249821246,5.495271323257487,0.01904611176844145,1.310828362670295,BB Expansion Long
