strategy,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,R,hold_candles,is_limit,is_fallback_market,is_partial_fill,is_adverse_selection,exit_datetime_parsed,month,year,session,same_candle,source_sleeve,expected_R,total_friction_cost,cost_to_risk,projected_net_R
strategy1_1_candidate_low_activity_offhours:Funding Reversal Short,1579424400000,2020-01-19 09:00:00+00:00,1579431600000,2020-01-19 11:00:00+00:00,Short,9108.7,8995.132147037159,8990.636828622848,9238.243171377153,8990.636828622848,0.808,91.76282519397647,7.313948187403013,3.6844799999995885,3.63221727876291,7.316697278762499,0.0,84.44887700657345,10084.448877006575,TP Hit,0.8766795791358271,2,False,False,False,False,2020-01-19 11:00:00,2020-01,2020,LONDON,False,strategy1_1_candidate_low_activity_offhours:Funding Reversal Short,0.9113808942767299,14.630645466165511,0.11294030639075386,0.7716032873574801
strategy1_1_candidate_low_activity_offhours:BB Expansion Short,1579438800000,2020-01-19 13:00:00+00:00,1579780800000,2020-01-23 12:00:00+00:00,Short,8641.4,8404.925338484236,8400.724975996238,8822.16801728271,8400.724975996238,0.572,135.26350638701683,4.875249046806491,2.488200000000208,2.402607343134892,4.8908073431351,-11.700439023187199,142.08869636339753,10226.537573369973,TP Hit,1.3081664835983273,95,False,False,False,False,2020-01-23 12:00:00,2020-01,2020,NEW_YORK,False,strategy1_1_candidate_low_activity_offhours:BB Expansion Short,1.331402687386683,21.46649541312879,0.11875162285791176,1.1237949551176065
strategy1_1_candidate_low_activity_offhours:Funding Reversal Short,1579881600000,2020-01-24 16:00:00+00:00,1579910400000,2020-01-25 00:00:00+00:00,Short,8505.0,8379.074021095446,8374.886577806543,8643.533422193455,8374.886577806543,0.761,95.82966994636531,6.424390165026818,3.2038099999993355,3.1866443428555815,6.390454342854917,-3.3702419331244,92.7755217144629,10319.313095084435,TP Hit,0.9089934898793153,8,False,False,False,False,2020-01-25 00:00:00,2020-01,2020,NEW_YORK,False,strategy1_1_candidate_low_activity_offhours:Funding Reversal Short,0.9392204432209859,16.185086441006135,0.11683163661693438,0.785696610610034
strategy1_1_candidate_low_activity_offhours:Funding Reversal Short,1580202000000,2020-01-28 09:00:00+00:00,1580220000000,2020-01-28 14:00:00+00:00,Short,9000.2,9161.48001629687,9156.901565514114,9156.901565514114,8852.638434485887,0.678,-109.34785104927704,6.15680952552464,3.084899999999507,3.1041896307083516,6.1890896307078584,0.0,-115.50466057480168,10203.808434509634,SL Hit,-1.029217645450666,5,False,False,False,False,2020-01-28 14:00:00,2020-01,2020,LONDON,False,strategy1_1_candidate_low_activity_offhours:Funding Reversal Short,0.9416725674053573,12.345899156232498,0.07878606136274104,0.8254689370768308
strategy1_1_candidate_low_activity_offhours:Funding Reversal Short,1580245200000,2020-01-28 21:00:00+00:00,1580252400000,2020-01-28 23:00:00+00:00,Short,9066.5,9243.190703724276,9238.57141801527,9238.57141801527,8903.42858198473,0.609,-107.60463856808427,5.575300819284042,2.7405,2.813144996784875,5.553644996784875,0.0,-113.17993938736832,10090.628495122268,SL Hit,-1.0268451655846553,2,False,False,False,False,2020-01-28 23:00:00,2020-01,2020,NEW_YORK,False,strategy1_1_candidate_low_activity_offhours:Funding Reversal Short,0.9476961362682481,11.128945816068917,0.06467631838241324,0.8414952850655991
strategy1_1_candidate_low_activity_offhours:Funding Reversal Short,1580288400000,2020-01-29 09:00:00+00:00,1580342400000,2020-01-30 00:00:00+00:00,Short,9390.3,9233.949198486407,9229.334531220797,9560.665468779203,9229.334531220797,0.609,95.21763812177763,5.671083880939111,2.862300000000443,2.810332364756781,5.672632364757224,-7.4613553049762995,97.00790954581481,10187.636404668081,TP Hit,0.917737629778866,15,False,False,False,False,2020-01-30 00:00:00,2020-01,2020,LONDON,False,strategy1_1_candidate_low_activity_offhours:Funding Reversal Short,0.9448244995458324,18.805071550672636,0.11038076956219489,0.763575288442064
strategy1_1_candidate_low_activity_offhours:Funding Reversal Short,1580407200000,2020-01-30 18:00:00+00:00,1580464800000,2020-01-31 10:00:00+00:00,Short,9471.0,9302.79811419686,9298.14903967702,9653.35096032298,9298.14903967702,0.574,96.5478824510027,5.388080058774499,2.7264999999999997,2.668568774387531,5.39506877438753,-7.082373922670199,98.24217631489842,10285.878580982979,TP Hit,0.9224074581522461,16,False,False,False,False,2020-01-31 10:00:00,2020-01,2020,NEW_YORK,False,strategy1_1_candidate_low_activity_offhours:Funding Reversal Short,0.9479026598863334,17.865522755832227,0.09797328582305716,0.7772174929472094
strategy1_1_candidate_low_activity_offhours:Funding Reversal Short,1580641200000,2020-02-02 11:00:00+00:00,1580688000000,2020-02-03 00:00:00+00:00,Short,9429.8,9321.369165263715,9316.710809858787,9553.289190141213,9316.710809858787,0.87,94.33482622056702,8.156758586889715,4.1325,4.052769202287745,8.185269202287746,-10.322269552454998,96.50033718613231,10382.378918169112,TP Hit,0.8780593233487871,13,False,False,False,False,2020-02-03 00:00:00,2020-02,2020,LONDON,False,strategy1_1_candidate_low_activity_offhours:Funding Reversal Short,0.9157821021572113,26.66429734163246,0.21592414130452214,0.6675934339910939
strategy1_1_candidate_low_activity_offhours:Funding Reversal Short,1580922000000,2020-02-05 17:00:00+00:00,1580925600000,2020-02-05 18:00:00+00:00,Short,9573.5,9708.87644794337,9704.024435725509,9704.024435725509,9452.59556427449,0.826,-111.82094600122386,7.963621473000611,3.9813199999997595,4.007762091953645,7.989082091953405,0.0,-119.78456747422447,10262.594350694888,SL Hit,-1.0371732096820958,1,False,False,False,False,2020-02-05 18:00:00,2020-02,2020,NEW_YORK,False,strategy1_1_candidate_low_activity_offhours:Funding Reversal Short,0.9262973255044004,15.952703564954016,0.12222005386410827,0.7783311585987003
strategy1_1_candidate_low_activity_offhours:BB Expansion Long,1580929200000,2020-02-05 19:00:00+00:00,1580947200000,2020-02-06 00:00:00+00:00,Long,9700.8,9559.46513313769,9564.247256766072,9564.247256766072,9842.391936926586,0.779,-110.099861285739,7.50187326935713,3.739199999999433,3.7252743065093203,7.4644743065087535,12.304478171700001,-129.90621272679613,10132.68813796809,SL Hit,-1.0350203409695655,5,False,False,False,False,2020-02-06 00:00:00,2020-02,2020,NEW_YORK,False,strategy1_1_candidate_low_activity_offhours:BB Expansion Long,1.0369029107238537,27.270825747565887,0.19970910215145513,0.7805369259337958
strategy1_1_candidate_low_activity_offhours:Funding Reversal Short,1580979600000,2020-02-06 09:00:00+00:00,1580990400000,2020-02-06 12:00:00+00:00,Short,9647.6,9799.8684597009,9794.970974213793,9794.970974213793,9509.809025786206,0.711,-108.26287484733936,6.913575037423669,3.398579999999172,3.482112181332848,6.88069218133202,0.0,-115.17644988476303,10017.511688083328,SL Hit,-1.0332323614825387,3,False,False,False,False,2020-02-06 12:00:00,2020-02,2020,LONDON,False,strategy1_1_candidate_low_activity_offhours:Funding Reversal Short,0.9349939833735488,13.794267218755689,0.09360233446475155,0.8033451303992147
strategy1_1_candidate_low_activity_offhours:BB Expansion Short,1583686800000,2020-03-08 17:00:00+00:00,1583708400000,2020-03-08 23:00:00+00:00,Short,8282.2,8059.64991712362,8055.622106070585,8451.87208362918,8055.622106070585,0.604,134.4202500573339,4.935238674971333,2.530759999999209,2.432797876033317,4.963557876032526,0.0,129.48501138236256,10146.99669946569,TP Hit,1.3116481987854147,6,False,False,False,False,2020-03-08 23:00:00,2020-03,2020,NEW_YORK,False,strategy1_1_candidate_low_activity_offhours:BB Expansion Short,1.3353869952148743,9.898796551003858,0.05834074963467676,1.2387963501243497
strategy1_1_candidate_low_activity_offhours:BB Expansion Short,1584003600000,2020-03-12 09:00:00+00:00,1584007200000,2020-03-12 10:00:00+00:00,Short,7379.2,7087.874364285765,7084.332198186672,7598.144017305597,7084.332198186672,0.472,137.50570005711867,3.4142295499714406,1.7228000000002575,1.671902398772021,3.3947023987722784,0.0,134.09147050714722,10281.088169972836,TP Hit,1.3305941824736345,1,False,False,False,False,2020-03-12 10:00:00,2020-03,2020,LONDON,False,strategy1_1_candidate_low_activity_offhours:BB Expansion Short,1.3467725925653302,6.808931948743719,0.031098963253423637,1.2808849585538395
strategy1_1_candidate_low_activity_offhours:Funding Reversal Long,1584126000000,2020-03-13 19:00:00+00:00,1584306000000,2020-03-15 21:00:00+00:00,Long,4968.9,5877.398227162747,5880.338396360928,4052.4216036390726,5880.338396360928,0.112,101.75180144222774,0.6073927007211138,0.2811199999999226,0.3292989501961856,0.6104189501961081,-2.1665269310944,103.31093567260103,10384.399105645438,TP Hit,0.9912925724928529,50,False,False,False,False,2020-03-15 21:00:00,2020-03,2020,NEW_YORK,False,strategy1_1_candidate_low_activity_offhours:Funding Reversal Long,0.9945006887014343,3.384338582011622,0.0036927641671095144,0.9615295800665279
strategy1_1_candidate_low_activity_offhours:BB Expansion Long,1584309600000,2020-03-15 22:00:00+00:00,1584309600000,2020-03-15 22:00:00+00:00,Long,5906.6,5588.1892208524705,5590.9847132090745,5590.9847132090745,6337.38178720962,0.332,-105.71237867697992,1.9081350106615105,0.9727600000000967,0.928103462392519,1.9008634623926155,0.0,-107.62051368764143,10276.778591957795,SL Hit,-1.0088572780647846,0,False,False,False,False,2020-03-15 22:00:00,2020-03,2020,OFF_HOURS,True,strategy1_1_candidate_low_activity_offhours:BB Expansion Long,1.3648951911983387,3.808998473054126,0.012068485375923296,1.3285443316323047
strategy1_1_candidate_low_activity_offhours:Funding Reversal Long,1584349200000,2020-03-16 09:00:00+00:00,1584352800000,2020-03-16 10:00:00+00:00,Long,4907.1,4538.659850228606,4540.930315386299,4540.930315386299,5269.849684613701,0.282,-103.90012223553319,1.3318521388822333,0.6909000000002051,0.640271174469497,1.3311711744697021,0.0,-105.23197437441542,10171.546617583379,SL Hit,-1.0062005820063684,1,False,False,False,False,2020-03-16 10:00:00,2020-03,2020,LONDON,False,strategy1_1_candidate_low_activity_offhours:Funding Reversal Long,0.9906600678764326,2.6630233133519354,0.007272648242743939,0.9648705351007448
strategy1_1_candidate_low_activity_offhours:BB Expansion Long,1584612000000,2020-03-19 10:00:00+00:00,1584619200000,2020-03-19 12:00:00+00:00,Long,5592.0,5811.793498716342,5814.7008491409115,5386.173235773179,5814.7008491409115,0.501,110.11654285688718,2.8566502714284434,1.412819999999854,1.4565825627094764,2.8694025627093307,0.0,107.25989258545873,10278.806510168839,TP Hit,1.067856746142738,2,False,False,False,False,2020-03-19 12:00:00,2020-03,2020,LONDON,False,strategy1_1_candidate_low_activity_offhours:BB Expansion Long,1.0819819763356682,5.726052834137774,0.027819768025054627,1.0264534972437427
strategy1_1_candidate_low_activity_offhours:BB Expansion Long,1584640800000,2020-03-19 18:00:00+00:00,1584691200000,2020-03-20 08:00:00+00:00,Long,6305.8,6700.344453736225,6703.696301887168,6011.351062641239,6703.696301887168,0.355,140.06328107635971,2.30859064053818,1.1324500000001807,1.1899060935849866,2.3223560935851673,-0.36448290863849997,138.11917334446005,10416.925683513298,TP Hit,1.3399418495965072,14,False,False,False,False,2020-03-20 08:00:00,2020-03,2020,NEW_YORK,False,strategy1_1_candidate_low_activity_offhours:BB Expansion Long,1.3513253111264079,4.995429642761847,0.016965351233974184,1.3035355893405651
strategy1_1_candidate_low_activity_offhours:BB Expansion Long,1584968400000,2020-03-23 13:00:00+00:00,1585036800000,2020-03-24 08:00:00+00:00,Long,6324.2,6714.020999104161,6717.379688948635,6035.675423956983,6717.379688948635,0.365,142.28466467301885,2.3794753323365097,1.1570500000000266,1.2259217932329012,2.3829717932329277,0.702877215,139.20231212568234,10556.12799563898,TP Hit,1.3510842107468917,19,False,False,False,False,2020-03-24 08:00:00,2020-03,2020,NEW_YORK,False,strategy1_1_candidate_low_activity_offhours:BB Expansion Long,1.3627251249821246,5.465324340569437,0.018942318243817795,1.310828362670295
