strategy,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,R,hold_candles,is_limit,is_fallback_market,is_partial_fill,is_adverse_selection,exit_datetime_parsed,month,year,session,same_candle,source_sleeve,expected_R,total_friction_cost,cost_to_risk,projected_net_R
strategy1_1_candidate_bb_atr_cost:BB Expansion Long,1578974400000,2020-01-14 04:00:00+00:00,1579010400000,2020-01-14 14:00:00+00:00,Long,8473.8,8637.074842104905,8641.395539874842,8346.320011290114,8641.395539874842,0.81,132.25262210497345,6.929904311052487,3.450599999998704,3.4997651936492913,6.950365193647995,1.7863513605000003,123.53636643342095,10123.536366433422,TP Hit,1.2807880182393256,10,False,False,False,False,2020-01-14 14:00:00,2020-01,2020,OFF_HOURS,False,strategy1_1_candidate_bb_atr_cost:BB Expansion Long,1.3146811634589277,15.666620865200482,0.12289474625585405,1.1629592545010832
strategy1_1_candidate_bb_atr_cost:BB Expansion Short,1579438800000,2020-01-19 13:00:00+00:00,1579780800000,2020-01-23 12:00:00+00:00,Short,8641.4,8404.925338484236,8400.724975996238,8822.16801728271,8400.724975996238,0.574,135.73645571004838,4.892295372144975,2.496900000000209,2.4110080681108883,4.907908068111097,-11.7413496491424,142.5855099870458,10266.121876420468,TP Hit,1.3081664835983275,95,False,False,False,False,2020-01-23 12:00:00,2020-01,2020,NEW_YORK,False,strategy1_1_candidate_bb_atr_cost:BB Expansion Short,1.331402687386683,21.541553089398473,0.11916683832244991,1.1237949551176065
strategy1_1_candidate_bb_atr_cost:BB Expansion Long,1580173200000,2020-01-28 01:00:00+00:00,1580230800000,2020-01-28 17:00:00+00:00,Long,9081.0,8935.066298255231,8939.536066288374,8939.536066288374,9266.656019043923,0.75,-109.45027630857658,6.756024861845712,3.4124999999994543,3.3523260248571205,6.764826024856575,8.345079493350001,-124.55138066377229,10141.570495756694,SL Hit,-1.0315965201579538,16,False,False,False,False,2020-01-28 17:00:00,2020-01,2020,OFF_HOURS,False,strategy1_1_candidate_bb_atr_cost:BB Expansion Long,1.3123911810792899,21.86593038005229,0.1545689406928692,1.1062992601554642
strategy1_1_candidate_bb_atr_cost:BB Expansion Long,1581444000000,2020-02-11 18:00:00+00:00,1581490800000,2020-02-12 07:00:00+00:00,Long,10303.0,10474.475065741344,10479.714923202946,10134.19056911735,10479.714923202946,0.62,106.31454075963342,6.441017270379817,3.1867999999996393,3.2487116261931077,6.435511626192747,19.0291764,80.8443470892536,10222.414842845948,TP Hit,1.0157907934690442,13,False,False,False,False,2020-02-12 07:00:00,2020-02,2020,NEW_YORK,False,strategy1_1_candidate_bb_atr_cost:BB Expansion Long,1.0468308688617773,31.905705296572563,0.18900428210525946,0.7419852525629718
strategy1_1_candidate_bb_atr_cost:ATR Expansion Short,1581588000000,2020-02-13 10:00:00+00:00,1581598800000,2020-02-13 13:00:00+00:00,Short,10171.0,10365.345996144815,10360.165913188222,10360.165913188222,9899.951130217665,0.555,-107.86202786037245,5.698836013930187,2.8305000000002023,2.8749460409089718,5.705446040909174,0.0,-113.56086387430264,10108.853978971645,SL Hit,-1.0273838075226507,3,False,False,False,False,2020-02-13 13:00:00,2020-02,2020,LONDON,False,strategy1_1_candidate_bb_atr_cost:ATR Expansion Short,1.4328631687075555,11.40428205483936,0.060287193726556616,1.3242375944254714
strategy1_1_candidate_bb_atr_cost:ATR Expansion Long,1581606000000,2020-02-13 15:00:00+00:00,1581778800000,2020-02-15 15:00:00+00:00,Long,10265.1,10006.23507053969,10011.240690885132,10011.240690885132,10632.288963672301,0.407,-105.35802629034659,4.125216686854827,2.0879100000004143,2.037287480595043,4.125197480595457,17.515703875080398,-126.99894685228182,9981.855032119365,SL Hit,-1.0197180885857424,48,False,False,False,False,2020-02-15 15:00:00,2020-02,2020,NEW_YORK,False,strategy1_1_candidate_bb_atr_cost:ATR Expansion Long,1.4464270187789399,25.76611804253068,0.10149762926705116,1.1970470942898706
strategy1_1_candidate_bb_atr_cost:ATR Expansion Short,1582149600000,2020-02-19 22:00:00+00:00,1582430400000,2020-02-23 04:00:00+00:00,Short,9615.5,9909.653747558728,9904.701396860299,9904.701396860299,9185.472904709553,0.347,-102.07135040287874,3.3876141752014393,1.669069999999823,1.71846569235509,3.387535692354913,-5.1015200266094,-100.35744455147076,9881.497587567897,SL Hit,-1.0171242281406474,78,False,False,False,False,2020-02-23 04:00:00,2020-02,2020,OFF_HOURS,False,strategy1_1_candidate_bb_atr_cost:ATR Expansion Short,1.486946812702205,11.876669894165753,0.041067124927833196,1.368597749509602
strategy1_1_candidate_bb_atr_cost:BB Expansion Short,1583686800000,2020-03-08 17:00:00+00:00,1583708400000,2020-03-08 23:00:00+00:00,Short,8282.2,8059.64991712362,8055.622106070585,8451.87208362918,8055.622106070585,0.596,132.63984939432285,4.869871275302839,2.4972399999992194,2.4005753876090345,4.897815387608254,0.0,127.76997811902001,10009.267565686918,TP Hit,1.3116481987854145,6,False,False,False,False,2020-03-08 23:00:00,2020-03,2020,NEW_YORK,False,strategy1_1_candidate_bb_atr_cost:BB Expansion Short,1.3353869952148743,9.767686662911093,0.05756802447395257,1.2387963501243497
strategy1_1_candidate_bb_atr_cost:BB Expansion Short,1583996400000,2020-03-12 07:00:00+00:00,1584007200000,2020-03-12 10:00:00+00:00,Short,7498.4,7223.839853594733,7220.22973872537,7704.874588117733,7220.22973872537,0.493,135.35815217779663,3.6290321239111014,1.84875,1.7797866305956658,3.628536630595666,-0.38554958610600004,132.11466963999155,10141.38223532691,TP Hit,1.3297527260289819,3,False,False,False,False,2020-03-12 10:00:00,2020-03,2020,OFF_HOURS,False,strategy1_1_candidate_bb_atr_cost:BB Expansion Short,1.347237274138621,7.643118340612768,0.03701723495510551,1.272151604858488
strategy1_1_candidate_bb_atr_cost:BB Expansion Short,1584057600000,2020-03-13 00:00:00+00:00,1584064800000,2020-03-13 02:00:00+00:00,Short,4759.9,3846.3357114784644,3844.4135047261016,5427.220276597206,3844.4135047261016,0.153,139.77533614379487,0.6583770319281026,0.3641400000000167,0.29409763311151665,0.6582376331115334,0.11711251345319998,138.99984659841357,10280.382081925323,TP Hit,1.3690042406323601,2,False,False,False,False,2020-03-13 02:00:00,2020-03,2020,OFF_HOURS,False,strategy1_1_candidate_bb_atr_cost:BB Expansion Short,1.371884726689467,1.433727178492836,0.002148484361667661,1.3578423452406587
strategy1_1_candidate_bb_atr_cost:BB Expansion Short,1584230400000,2020-03-15 00:00:00+00:00,1584273600000,2020-03-15 12:00:00+00:00,Short,5164.6,5517.648630267866,5514.891184675528,5514.891184675528,4780.475350360524,0.296,-104.50239455928819,1.5809727972796441,0.772559999999903,0.8162038953319642,1.5887638953318672,1.5776904458696,-107.66105780243745,10172.721024122888,SL Hit,-1.007871866929486,12,False,False,False,False,2020-03-15 12:00:00,2020-03,2020,OFF_HOURS,False,strategy1_1_candidate_bb_atr_cost:BB Expansion Short,1.0965866868596421,4.747427138481111,0.013552802200485343,1.0508001929390836
strategy1_1_candidate_bb_atr_cost:BB Expansion Long,1584309600000,2020-03-15 22:00:00+00:00,1584309600000,2020-03-15 22:00:00+00:00,Long,5906.6,5588.1892208524705,5590.9847132090745,5590.9847132090745,6337.38178720962,0.326,-103.80191400209473,1.873650642998953,0.955180000000095,0.9113305082528951,1.86651050825299,0.0,-105.67556464509369,10067.045459477793,SL Hit,-1.0088572780647846,0,False,False,False,False,2020-03-15 22:00:00,2020-03,2020,OFF_HOURS,True,strategy1_1_candidate_bb_atr_cost:BB Expansion Long,1.3648951911983387,3.740161151251943,0.011850380218527091,1.3285443316323047
strategy1_1_candidate_bb_atr_cost:BB Expansion Short,1584345600000,2020-03-16 08:00:00+00:00,1584367200000,2020-03-16 14:00:00+00:00,Short,4780.7,5115.822327165053,5113.2656943178945,5113.2656943178945,4326.280424558479,0.306,-102.54743211250631,1.5141679160562531,0.7191000000001113,0.7823296512305478,1.501429651230659,0.539678132109,-104.60127816067157,9962.444181317122,SL Hit,-1.0076876024522086,6,False,False,False,False,2020-03-16 14:00:00,2020-03,2020,LONDON,False,strategy1_1_candidate_bb_atr_cost:BB Expansion Short,1.3664054447153755,3.5552756993959123,0.01069044630922598,1.3314693456656175
strategy1_1_candidate_bb_atr_cost:BB Expansion Long,1584612000000,2020-03-19 10:00:00+00:00,1584619200000,2020-03-19 12:00:00+00:00,Long,5592.0,5811.793498716342,5814.7008491409115,5386.173235773179,5814.7008491409115,0.491,107.91860786972376,2.799631303934862,1.3846199999998572,1.4275090584637782,2.8121290584636354,0.0,105.11897656578888,10067.56315788291,TP Hit,1.0678567461427382,2,False,False,False,False,2020-03-19 12:00:00,2020-03,2020,LONDON,False,strategy1_1_candidate_bb_atr_cost:BB Expansion Long,1.0819819763356682,5.611760362398497,0.027264483234135373,1.0264534972437427
strategy1_1_candidate_bb_atr_cost:BB Expansion Long,1584640800000,2020-03-19 18:00:00+00:00,1584691200000,2020-03-20 08:00:00+00:00,Long,6305.8,6700.344453736225,6703.696301887168,6011.351062641239,6703.696301887168,0.347,136.90692544646993,2.256566062723235,1.1069300000001767,1.1630913083774375,2.270021308377614,-0.35626920928889994,135.0066285930356,10202.569786475944,TP Hit,1.3399418495965074,14,False,False,False,False,2020-03-20 08:00:00,2020-03,2020,NEW_YORK,False,strategy1_1_candidate_bb_atr_cost:BB Expansion Long,1.3513253111264079,4.882856580389749,0.01658303345968744,1.3035355893405651
strategy1_1_candidate_bb_atr_cost:BB Expansion Long,1584968400000,2020-03-23 13:00:00+00:00,1585036800000,2020-03-24 08:00:00+00:00,Long,6324.2,6714.020999104161,6717.379688948635,6035.675423956983,6717.379688948635,0.358,139.55591767928973,2.333841558839645,1.134860000000026,1.2024109643215852,2.337270964321611,0.689397378,136.5326787424501,10339.102465218397,TP Hit,1.351084210746892,19,False,False,False,False,2020-03-24 08:00:00,2020-03,2020,NEW_YORK,False,strategy1_1_candidate_bb_atr_cost:BB Expansion Long,1.3627251249821246,5.360509901161255,0.018579040907634986,1.310828362670295
